주문 CSV,주문 정보 CSV
{폴더경로}\order\order(2023-01).csv,{폴더경로}\order_items\order_items(2023-01).csv
{폴더경로}\order\order(2023-02).csv,{폴더경로}\order_items\order_items(2023-02).csv
{폴더경로}\order\order(2023-03).csv,{폴더경로}\order_items\order_items(2023-03).csv
{폴더경로}\order\order(2023-04).csv,{폴더경로}\order_items\order_items(2023-04).csv
{폴더경로}\order\order(2023-05).csv,{폴더경로}\order_items\order_items(2023-05).csv
{폴더경로}\order\order(2023-06).csv,{폴더경로}\order_items\order_items(2023-06).csv
{폴더경로}\order\order(2023-07).csv,{폴더경로}\order_items\order_items(2023-07).csv
{폴더경로}\order\order(2023-08).csv,{폴더경로}\order_items\order_items(2023-08).csv
{폴더경로}\order\order(2023-09).csv,{폴더경로}\order_items\order_items(2023-09).csv
{폴더경로}\order\order(2023-10).csv,{폴더경로}\order_items\order_items(2023-10).csv
{폴더경로}\order\order(2023-11).csv,{폴더경로}\order_items\order_items(2023-11).csv
{폴더경로}\order\order(2023-12).csv,{폴더경로}\order_items\order_items(2023-12).csv
{폴더경로}\order\order(2024-01).csv,{폴더경로}\order_items\order_items(2024-01).csv
{폴더경로}\order\order(2024-02).csv,{폴더경로}\order_items\order_items(2024-02).csv
{폴더경로}\order\order(2024-03).csv,{폴더경로}\order_items\order_items(2024-03).csv
{폴더경로}\order\order(2024-04).csv,{폴더경로}\order_items\order_items(2024-04).csv
{폴더경로}\order\order(2024-05).csv,{폴더경로}\order_items\order_items(2024-05).csv
{폴더경로}\order\order(2024-06).csv,{폴더경로}\order_items\order_items(2024-06).csv
{폴더경로}\order\order(2024-07).csv,{폴더경로}\order_items\order_items(2024-07).csv
{폴더경로}\order\order(2024-08).csv,{폴더경로}\order_items\order_items(2024-08).csv
{폴더경로}\order\order(2024-09).csv,{폴더경로}\order_items\order_items(2024-09).csv
{폴더경로}\order\order(2024-10).csv,{폴더경로}\order_items\order_items(2024-10).csv
{폴더경로}\order\order(2024-11).csv,{폴더경로}\order_items\order_items(2024-11).csv
{폴더경로}\order\order(2024-12).csv,{폴더경로}\order_items\order_items(2024-12).csv
